en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Online PAC,Удаленный PAC,使用在线 PAC,使用線上 PAC,オンライン PAC,온라인 프록시 자동 구성,PAC en ligne
Edit Local PAC File,Редактировать локальный PAC,编辑本地 PAC 文件,編輯本機 PAC 檔案,ローカル PAC ファイルの編集,로컬 프록시 자동 구성 파일 수정,Modifier le fichier PAC local
Update Local PAC from Geosite,Обновить локальный PAC из Geosite,从 Geosite 更新本地 PAC,從 Geosite 更新本機 PAC,Geosite からローカル PAC を更新,Geosite에서 로컬 프록시 자동 구성 파일 업데이트,Mettre à jour le PAC local à partir de Geosite
Edit User Rule for Geosite,Редактировать свои правила для Geosite,编辑 Geosite 的用户规则,編輯 Geosite 的使用者規則,ユーザールールの編集,Geosite 사용자 수정,Modifier la règle utilisateur pour Geosite
GeoSite Sources,Источники GeoSite,GeoSite 源,GeoSite 來源,GeoSite ソース,GeoSite 소스,Sources GeoSite
Copy Local PAC URL,Копировать URL локального PAC,复制本地 PAC 网址,複製本機 PAC 網址,ローカル PAC URL をコピー,로컬 프록시 자동 구성 파일 URL 복사,Copier l'URL du PAC local
Share Server Config,Поделиться конфигурацией сервера,分享服务器配置,分享伺服器設定檔,サーバーの設定を共有,서버 설정 공유,Partager la configuration du serveur
Scan QRCode from Screen,Сканировать QRCode с экрана,扫描屏幕上的二维码,掃描螢幕上的 QR 碼,画面から QR コードをスキャン,화면에서 QR코드 스캔,Scanner le QRCode à partir de l'écran
Import URL from Clipboard,Импорт адреса из буфера обмена,从剪贴板导入URL,從剪貼簿匯入 URL,クリップボードから URL をインポート,클립보드에서 URL 가져오기,Importer l'URL du presse-papiers
Availability Statistics,Статистика доступности,统计可用性,統計可用性,可用性の統計,가용성 통계,Statistiques de disponibilité
Verbose Logging,Подробный журнал,详细记录日志,詳細資訊記錄,詳細なログを記録,자세한 로깅 사용,Journalisation détaillée
Updates,Обновления,更新,更新,アップデート,업데이트,Mettre à jour
Check for Updates,Проверить обновления,检查更新,檢查更新,アップデートを確認,업데이트 확인하기,Vérifier les mises à jour
Check for Updates at Startup,Проверять при запуске,启动时检查更新,啟動時檢查更新,起動時にアップデートを確認,시스템 시작 시 업데이트 확인하기,Vérifier les mises à jour au démarrage
About,О программе,关于,關於,shadowsocks-reborn について,정보,A propos
Help,Помощь,帮助,說明,ヘルプ,도움말,Aide
Quit,Выход,退出,結束,終了,종료,Quitter
Load Balance,Балансировка нагрузки,负载均衡,負載平衡,サーバーロードバランス,로드밸런싱,Répartition de charge
High Availability,Высокая доступность,高可用,高可用性,高可用性,고가용성,Haute disponibilité
Show Plugin Output,События плагинов в журнале,显示插件输出,顯示外掛程式輸出,プラグインの出力情報を表示,플러그인 출력 보이기,Afficher la sortie du plugin
# Config Form,,,,,,
Statistics configuration,Настройки статистики,统计配置,統計設定,統計の設定,통계 설정,Configuration des statistiques
&Add,Добавить,添加(&A),新增 (&A),新規 (&A),추가 (&A),Ajouter
&Delete,Удалить,删除(&D),移除 (&D),削除 (&D),삭제 (&D),Supprimer
Dupli&cate,Дублир-ть,复制(&C),複製 (&C),コピー (&C),복제 (&C),Dupliquer
Server,Сервер,服务器,伺服器,サーバー,서버,Serveur
Server IP,IP-адрес,服务器地址,伺服器位址,サーバーアドレス,서버 IP,Serveur IP
Server Port,Порт,服务器端口,伺服器連接埠,サーバーポート,서버 포트,Port de serveur
Password,Пароль,密码,密碼,パスワード,비밀번호,Mot de passe
Show Password,Показать пароль,显示密码,顯示密碼,パスワードを表示する,비밀번호 보이기,Montrer le mot de passe
Encryption,Шифрование,加密,加密,暗号化,암호화,Chiffrement
Plugin Program,Плагин,插件程序,外掛程式,プラグインプログラム,플러그인 프로그램,Programme de plugin
Plugin Options,Опции плагина,插件选项,外掛程式選項,プラグインのオプション,플러그인 설정,Options de plugin
Environment variables for plugin program,Переменные окружения для программы плагина,插件程序的环境变量,外掛程式的環境變數,プラグインプログラムの環境変数,플러그인 프로그램의 환경 변수,Variables d’environnement du programme de plugin
Need Plugin Argument,Требуются аргументы,需要命令行参数,需要外掛程式參數,コマンドライン引数を有効にする,플러그인 인자가 필요함,Besoin d'un argument de plugin
Plugin Arguments,Аргументы,插件参数,外掛程式參數,プラグインの引数,플러그인 인자,Arguments du plugin
"Plugin arguments are not part of SIP003. They are passed as command-line arguments. Mandatory: %SS_LOCAL_HOST%, %SS_LOCAL_PORT%, %SS_REMOTE_HOST%, %SS_REMOTE_PORT%. Optional: %SS_PLUGIN_OPTIONS%.","Аргументы плагина не входят в стандарт SIP003 и передаются через командную строку. Обязательные: %SS_LOCAL_HOST%, %SS_LOCAL_PORT%, %SS_REMOTE_HOST%, %SS_REMOTE_PORT%. Необязательная: %SS_PLUGIN_OPTIONS%.",插件参数不属于 SIP003，它们作为命令行参数传递。必需：%SS_LOCAL_HOST%、%SS_LOCAL_PORT%、%SS_REMOTE_HOST%、%SS_REMOTE_PORT%。可选：%SS_PLUGIN_OPTIONS%。,外掛程式參數不屬於 SIP003，而是以命令列參數傳遞。必要：%SS_LOCAL_HOST%、%SS_LOCAL_PORT%、%SS_REMOTE_HOST%、%SS_REMOTE_PORT%。選用：%SS_PLUGIN_OPTIONS%。,プラグイン引数は SIP003 の一部ではなく、コマンドライン引数として渡されます。必須: %SS_LOCAL_HOST%、%SS_LOCAL_PORT%、%SS_REMOTE_HOST%、%SS_REMOTE_PORT%。任意: %SS_PLUGIN_OPTIONS%。,"플러그인 인수는 SIP003의 일부가 아니며 명령줄 인수로 전달됩니다. 필수: %SS_LOCAL_HOST%, %SS_LOCAL_PORT%, %SS_REMOTE_HOST%, %SS_REMOTE_PORT%. 선택: %SS_PLUGIN_OPTIONS%.","Les arguments de plugin ne font pas partie de SIP003. Ils sont transmis en ligne de commande. Obligatoires : %SS_LOCAL_HOST%, %SS_LOCAL_PORT%, %SS_REMOTE_HOST%, %SS_REMOTE_PORT%. Facultatif : %SS_PLUGIN_OPTIONS%."
Proxy Port,Порт прокси,代理端口,Proxy 連接埠,プロキシポート,프록시 포트,Port proxy
Portable Mode,Переносимый режим,便携模式,便攜模式,ポータブルモード,포터블 모드,Mode portable
Restart required,Требуется перезапуск программы,需要重新启动SS,需要重新啟動SS,再起動が必要,재시작이 필요합니다,Redémarrage nécessaire
Remarks,Примечания,备注,註解,付記,알림,Remarques
Group,Группа,组,群組,グループ,그룹,Groupe
Timeout(Sec),Таймаут(сек),超时(秒),逾時 (秒),タイムアウト (秒),시간 초과 (초),Délai d'attente(sec)
OK,ОК,确定,確定,OK,확인,OK
Cancel,Отмена,取消,取消,キャンセル,취소,Annuler
Apply,Применить,应用,應用,適用,적용,Appliquer
New server,Новый сервер,未配置的服务器,新伺服器,新規サーバー,새 서버,Nouveau serveur
Move &Up,Выше,上移(&U),上移 (&U),上に移動 (&U),위로 (&U),Monter
Move D&own,Ниже,下移(&O),下移 (&O),下に移動 (&O),아래로 (&O),Descendre
deprecated,Устаревшее,不推荐,不推薦,非推奨,더 이상 사용되지 않음,Obsolète
"Encryption method {0} not exist, will replace with {1}",Метод шифрования {0} не найден; будет использован {1},加密方法{0}不存在，将使用{1}代替,加密方式 {0} 不存在，將替換為 {1},暗号化方式{0}が存在しません，{1}に置換します,{0} 암호화 방식이 존재하지 않으므로 {1}로 대체될 것입니다.,"Méthode de chiffrement {0} n'existe pas, sera remplacée par {1}"
# Log Form,,,,,,
&File,Файл,文件(&F),檔案 (&F),ファイル (&F),파일 (&F),Fichier
&Open Location,Расположение файла,在资源管理器中打开(&O),在檔案總管中開啟 (&O),ファイルの場所を開く (&O),위치 열기 (&O),Ouvrier
E&xit,Выход,退出(&X),結束 (&X),終了 (&X),종료 (&X),Quitter
&View,Вид,视图(&V),檢視 (&V),表示 (&V),보기 (&V),Afficher
&Clear Logs,Очистить журнал,清空日志(&C),清除記錄檔 (&C),ログの削除 (&C),로그 초기화 (&C),Effacer les journaux
Change &Font,Шрифт…,设置字体(&F),變更字型 (&F),フォント (&F),글꼴 변경 (&F),Définir la police
&Font,Шрифт,字体(&F),字型(&F),フォント(&F),글꼴(&F),&Police
&Wrap Text,Перенос строк,自动换行(&W),自動換行 (&W),右端で折り返す (&W),텍스트 감싸기 (&W),Retour à la ligne
&Top Most,Поверх всех окон,置顶(&T),置頂 (&T),常に最前面に表示 (&T),상단 우선 (Top Most) (&T),Metter en haut
&Show Toolbar,Панель инструментов,显示工具栏(&S),顯示工具列 (&S),ツールバーの表示 (&S),툴바 보여주기 (&S),Afficher la barre d'outils
Log Viewer,Просмотр журнала,日志查看器,記錄檔檢視器,ログビューア,로그 뷰어,Visionneuse de journaux
Inbound,Входящая,入站,輸入,受信,"인바운드 (Rx, 다운로드)",Entrant
Outbound,Исходящая,出站,輸出,送信,"아웃바운드 (Tx, 업로드)",Sortant
In,Вх.,入,入,受信,수신,Entrée
Out,Исх.,出,出,送信,송신,Sortie
# QRCode Form,,,,,,
QRCode and URL,QRCode и URL,二维码与 URL,QR 碼與 URL,QR コードと URL,QR코드와 URL,QRCode et URL
# PAC Url Form,,,,,,
Edit Online PAC URL,Изменение URL удаленного PAC,编辑在线 PAC 网址,編輯線上 PAC 網址,オンライン PAC URL の編集,온라인 프록시 자동 구성 URL 수정,Modifier l'URL du PAC en ligne
Please input PAC Url,Введите URL адрес для PAC-файла,请输入 PAC 网址,請輸入 PAC 網址,PAC URLを入力して下さい,프록시 자동 구성 URL을 입력하세요,Veuillez saisir l'URL PAC
# Messages,,,,,,
shadowsocks-reborn Error: {0},Ошибка shadowsocks-reborn: {0},shadowsocks-reborn 错误: {0},shadowsocks-reborn 錯誤: {0},shadowsocks-reborn エラー: {0},shadowsocks-reborn 오류: {0},Erreur shadowsocks-reborn: {0}
Port {0} already in use,Порт {0} уже используется,端口 {0} 已被占用,連接埠號碼 {0} 已被使用,ポート番号 {0} は既に使用されています。,{0}번 포트는 이미 사용 중입니다.,Port {0} déjà utilisé
Port {0} is reserved by system,Порт {0} зарезервирован системой,端口 {0} 是系统保留端口,連接埠號碼 {0} 由系統保留, ポート番号 {0} はシステムによって予約されています,{0}번 포트는 시스템에서 사용 중입니다.,Port {0} réservé par le système
Invalid server address,Неверный адрес сервера,非法服务器地址,無效伺服器位址,サーバーアドレスが無効です。,올바르지 않은 서버 주소입니다.,Adresse de serveur non valide
Illegal port number format,Неверный числовой формат порта,非法端口格式,無效連接埠號碼格式,ポート番号のフォーマットが無効です。,올바르지 않은 포트 번호 형식입니다.,Format de numéro de port illégal
Illegal timeout format,Неверный формат таймаута,非法超时格式,無效逾時格式,タイムアウト値のフォーマットが無効です。,올바르지 않은 시간 초과 형식입니다.,Format de délai d'attente illégal
Server IP can not be blank,IP-адрес сервера не может быть пустым,服务器 IP 不能为空,伺服器 IP 不能為空,サーバー IP が指定されていません。,서버 IP는 비어있으면 안됩니다.,L'adresse IP du serveur ne peut pas être vide
Password can not be blank,Пароль не может быть пустым,密码不能为空,密碼不能為空,パスワードが指定されていません。,비밀번호는 비어있으면 안됩니다.,Le mot de passe ne peut pas être vide
Port out of range,Порт выходит за допустимый диапазон,端口超出范围,連接埠號碼超出範圍,ポート番号は範囲外です。,올바른 포트 범위가 아닙니다.,Port hors de portée
Port can't be 8123,Адрес порта 8123 не может быть использован,端口不能为 8123,連接埠號碼不能為 8123,8123 番以外のポート番号を指定して下さい。,8123번 포트는 사용할 수 없습니다.,Le port ne peut pas être 8123
No update is available,Обновлений не обнаружено,没有可用的更新,沒有可用的更新,お使いのバージョンは最新です。,사용 가능한 업데이트가 없습니다.,Aucune mise à jour n'est disponible
shadowsocks-reborn is here,shadowsocks-reborn находится здесь,shadowsocks-reborn 在这里,shadowsocks-reborn 在這裡,shadowsocks-reborn はここです。,shadowsocks-reborn는 여기에 있습니다,Veuillez trouver shadowsocks-reborn ici
You can turn on/off shadowsocks-reborn in the context menu,Вы можете управлять shadowsocks-reborn из контекстного меню,可以在右键菜单中开关 shadowsocks-reborn,可以在右鍵選項單中開關 shadowsocks-reborn,コンテキストメニューを使って、shadowsocks-reborn を有効または無効にすることができます。,프로그램 메뉴에서 shadowsocks-reborn를 끄고 켤 수 있습니다.,Vous pouvez activer / désactiver shadowsocks-reborn dans le menu contextuel
System Proxy Enabled,Системный прокси включен,系统代理已启用,系統 Proxy 已啟用,システム プロキシが有効です。,시스템 프록시가 활성화되었습니다.,Proxy système activé
System Proxy Disabled,Системный прокси отключен,系统代理未启用,系統 Proxy 未啟用,システム プロキシが無効です。,시스템 프록시가 비활성화되었습니다.,Proxy système désactivé
Failed to update PAC file,Не удалось обновить PAC файл,更新 PAC 文件失败,更新 PAC 檔案失敗,PAC の更新に失敗しました。,프록시 자동 구성 파일을 업데이트하는데 실패했습니다.,Impossible de mettre à jour le fichier PAC
PAC updated,PAC файл обновлен,更新 PAC 成功,更新 PAC 成功,PAC を更新しました。,프록시 자동 구성 파일이 업데이트되었습니다.,PAC mis à jour
No updates found. Please report to Geosite if you have problems with it.,Обновлений не найдено. Сообщите авторам Geosite если у вас возникли проблемы.,未发现更新。如有问题请提交给 Geosite。,未發現更新。如有問題請報告至 Geosite。,お使いのバージョンは最新です。問題がある場合は、GFWList に報告して下さい。,사용 가능한 업데이트를 찾지 못했습니다. 문제가 있다면 Geosite로 전송해주세요.,Aucune mise à jour trouvée. Veuillez signaler à Geosite si vous avez des problèmes concernant.
No QRCode found. Try to zoom in or move it to the center of the screen.,QRCode не обнаружен. Попробуйте увеличить изображение или переместить его в центр экрана.,未发现二维码，尝试把它放大或移动到靠近屏幕中间的位置,未發現 QR 碼，嘗試把它放大或移動到靠近熒幕中間的位置,QR コードが見つかりませんでした。コードを大きくするか、画面の中央に移動して下さい。,QR코드를 찾을 수 없습니다. 가운데로 화면을 이동시키거나 확대해보세요.,Aucun QRCode trouvé. Essayez de zoomer ou de le déplacer vers le centre de l'écran.
Shadowsocks Reborn is already running,Shadowsocks Reborn уже запущен,Shadowsocks Reborn 已在运行,Shadowsocks Reborn 已在執行,Shadowsocks Reborn はすでに実行中です,Shadowsocks Reborn이 이미 실행 중입니다,Shadowsocks Reborn est déjà en cours d’exécution
The existing instance has been brought to the foreground.,Уже запущенный экземпляр выведен на передний план.,已将正在运行的实例切换到前台。,已將正在執行的執行個體切換到前景。,実行中のインスタンスを前面に表示しました。,실행 중인 인스턴스를 앞으로 가져왔습니다.,L’instance déjà en cours d’exécution a été placée au premier plan.
"If you want to start multiple shadowsocks-reborn, make a copy in another directory.","Если вы хотите запустить несколько копий shadowsocks-reborn одновременно, создайте отдельную папку на каждую копию.",如果想同时启动多个，可以另外复制一份到别的目录。,如果想同時啟動多個，可以另外複製一份至別的目錄。,複数起動したい場合は、プログラムファイルを別のフォルダーにコピーしてから、もう一度実行して下さい。,"만약 여러 개의 shadowsocks-reborn를 사용하고 싶으시다면, 파일을 다른 곳에 복사해주세요.","Si vous souhaitez démarrer plusieurs shadowsocks-reborn, faites une copie dans un autre répertoire."
Invalid QR Code content: {0},Недопустимое содержимое QR-кода: {0},无效二维码内容: {0},無效二維碼內容: {0},無効な QR コード内容: {0},잘못된 QR 코드 내용: {0},Contenu du QR code invalide : {0}
Failed to update registry,Не удалось обновить запись в реестре,无法修改注册表,無法修改登錄檔,レジストリの更新に失敗しました。,레지스트리를 업데이트하는데에 실패했습니다.,Impossible de mettre à jour de la base de registre
Failed to open registry key: {0},Не удалось открыть раздел реестра: {0},无法打开注册表项：{0},無法開啟登錄機碼：{0},レジストリキーを開けませんでした: {0},레지스트리 키를 열 수 없습니다: {0},Impossible d’ouvrir la clé de Registre : {0}
Import from URL: {0} ?,импортировать из адреса: {0} ?,从URL导入: {0} ?,從URL匯入: {0} ?,{0}：このURLからインポートしますか？,URL에서 가져오기: {0} ?,Importer depuis l’URL : {0} ?
Successfully imported from {0},Успешно импортировано из {0},导入成功：{0},導入成功：{0},{0}：インポートしました。,{0}에서 성공적으로 가져왔습니다,Importation réussie depuis {0}
Failed to import. Please check if the link is valid.,Не удалось импортировать. Проверьте корректность ссылки.,导入失败，请检查链接是否有效。,導入失敗，請檢查鏈接是否有效。,インポートに失敗しました。リンクの有効性を確認してください。,가져오기에 실패했습니다. 링크가 유효한지 확인하세요.,Échec de l’importation. Vérifiez que le lien est valide.
Warning: importing {0} from a legacy ss:// link. Legacy ss:// links may be removed in a future release. Please update your ss:// links.,Предупреждение: выполняется импорт {0} из устаревшей ссылки ss://. Поддержка таких ссылок может быть удалена в одной из будущих версий. Обновите ссылки ss://.,警告: 正在从旧版 ss:// 链接导入 {0}。旧版 ss:// 链接可能会在未来版本中移除，请及时更新你的链接。,警告：正在從舊版 ss:// 連結匯入 {0}。未來版本可能移除舊版 ss:// 連結支援。請更新您的 ss:// 連結。,警告: レガシー ss:// リンクから {0} をインポートしています。将来のリリースではレガシー ss:// リンクが削除される可能性があります。ss:// リンクを更新してください。,경고: 레거시 ss:// 링크에서 {0}을(를) 가져오고 있습니다. 향후 릴리스에서 레거시 ss:// 링크 지원이 제거될 수 있습니다. ss:// 링크를 업데이트하세요.,Avertissement : importation de {0} depuis un ancien lien ss://. Les anciens liens ss:// pourront être supprimés dans une future version. Veuillez mettre à jour vos liens ss://.
System Proxy On:,Системный прокси:,系统代理已启用：,系統 Proxy 已啟用：,システム プロキシが有効：,시스템 프록시 활성화됨: ,Proxy système activé:
Running: Port {0},Запущен на порту {0},正在运行：端口 {0},正在執行：連接埠號碼 {0},実行中：ポート {0},실행 중: 포트 {0}번,En cours d'exécution: port {0}
"Unexpected error, shadowsocks-reborn will exit. Please report to","Непредвиденная ошибка, пожалуйста сообщите на",非预期错误，shadowsocks-reborn将退出。请提交此错误到,非預期錯誤，shadowsocks-reborn 將結束。請報告此錯誤至,予想外のエラーが発生したため、shadowsocks-reborn を終了します。詳しくは下記までお問い合わせ下さい：,알 수 없는 오류로 shadowsocks-reborn가 종료될 것입니다. 오류를 여기로 제보해주세요:,shadowsocks-reborn va quitter en présence d/érreur inattendue. Veuillez signaler à
Unsupported operating system. Windows 10 version 2004 (build 19041) or newer is required.,Операционная система не поддерживается. Требуется Windows 10 версии 2004 (сборка 19041) или новее.,需要 Windows 10 版本 2004（内部版本 19041）或更高版本。,需要 Windows 10 版本 2004（組建 19041）或更新版本。,Windows 10 バージョン 2004（ビルド 19041）以降が必要です.,Windows 10 버전 2004(빌드 19041) 이상이 필요합니다.,Windows 10 version 2004 (build 19041) ou une version ultérieure est requis.
Proxy request failed,Не удалось выполнить запрос,代理请求失败,Proxy 要求失敗,プロキシリクエストが失敗しました。,프록시 요청에 실패했습니다.,Échec de la demande de proxy
Proxy handshake failed,Не удалось выполнить хэндшейк,代理握手失败,Proxy 交握失敗,プロキシ ハンドシェイクに失敗しました。,프록시 핸드쉐이크에 실패했습니다.,Échec de la prise de contact par proxy
Register hotkey failed,Не удалось применить настройки горячих клавиш,注册快捷键失败,註冊快速鍵失敗,ホットキーの登錄に失敗しました。,단축키 등록에 실패했습니다.,Échec de l'enregistrement du raccourci clavier
Cannot parse hotkey: {0},Не удалось распознать следующие горячие клавиши: {0},解析快捷键失败: {0},剖析快速鍵失敗: {0},ホットキーを解析できません: {0},단축키를 해석할 수 없습니다: {0},Impossible d'analyser le raccourci clavier: {0}
"Timeout is invalid, it should not exceed {0}",Таймаут не может превышать значение {0},超时无效，不应超过 {0},逾時無效，不應超過 {0},タイムアウト値が無効です。{0} 以下の値を指定して下さい。,올바르지 않은 시간 초과 설정입니다. {0}을 초과하지 않아야 합니다.,"Le délai d'attente invalide, il ne doit pas dépasser {0}"
Cannot find the plugin program file,Файл плагина не найден,找不到插件程序文件,找不到外掛程式文件,プラグインプログラムが見つかりません,플러그인 프로그램 파일을 찾을 수 없습니다.,Impossible de trouver le fichier du programme du plugin
Operation failure,Операция завершилась неудачей,操作失败,操作失敗,操作に失敗しました,작업에 실패했습니다.,Échec de l’opération
Auto save failed,Автоматическое сохранение не удалось,自动保存失败,自動儲存失敗,オートセーブに失敗しました,자동 저장에 실패했습니다.,Échec de l'enregistrement automatique
Whether to discard unconfigured servers,Внесенные изменения будут утеряны,是否丢弃未配置的服务器,是否捨棄未設定的伺服器,未設定のサーバーを破棄しますか,구성되지 않은 서버 설정 변경 사항을 폐기하시겠습니까?,Eliminer les serveurs non configurés ou non
"Invalid server address, Cannot automatically save or discard changes",Неверный адрес сервера. Невозможно сохранить или отменить изменения,非法服务器地址，无法自动保存，是否丢弃修改,伺服器位址無效，無法自動儲存或捨棄變更,サーバーアドレスが無効なため、オートセーブできません。変更を破棄しますか,"서버 주소가 올바르지 않아 자동 저장 할 수 없습니다, 변경 사항을 폐기하시겠습니까?","Adresse de serveur invalide, impossible d'enregistrer ou d'annuler automatiquement les modifications"
"Illegal port number format, Cannot automatically save or discard changes",Неверный числовой адрес порта. Невозможно сохранить или отменить изменения,非法端口格式，无法自动保存，是否丢弃修改,連接埠號格式無效，無法自動儲存或捨棄變更,ポート番号のフォーマットが無効なため、オートセーブできません。変更を破棄しますか,"포트 번호가 올바르지 않아 자동 저장 할 수 없습니다, 변경 사항을 폐기하시겠습니까?","Format de numéro de port illégal, impossible d'enregistrer ou d'annuler automatiquement les modifications"
"Password can not be blank, Cannot automatically save or discard changes",Пароль не может быть пустым. Невозможно сохранить или отменить изменения,密码不能为空，无法自动保存，是否丢弃修改,密碼不能為空白，無法自動儲存或捨棄變更,サーバーアドレスが無効なため、オートセーブできません。変更を破棄しますか,"비밀번호를 입력하지 않아 자동 저장 할 수 없습니다, 변경 사항을 폐기하시겠습니까?","Le mot de passe ne peut pas être vide, impossible d'enregistrer ou d'annuler automatiquement les modifications"
"Illegal timeout format, Cannot automatically save or discard changes",Неверный формат таймаута. Невозможно сохранить или отменить изменения,非法超时格式，无法自动保存，是否丢弃修改,逾時格式無效，無法自動儲存或捨棄變更,パスワードが指定されていないため、オートセーブできません。変更を破棄しますか,시간 초과 형식이 올바르지 않아 자동 저장 할 수 없습니다. 변경 사항을 폐기하시겠습니까?,"Format de délai d'attente illégal, impossible d'enregistrer ou d'annuler automatiquement les modifications"
"Error occured when process proxy setting, do you want reset current setting and retry?",Произошла ошибка при обработке настроек. Хотите сбросить текущие настройки и попробовать снова?,处理代理设置时发生错误，是否重置当前代理设置并重试？,處理 Proxy 設定時發生錯誤，是否重設目前設定並重試？,プロキシ設定の処理にエラーが発生しました、現在のプロキシ設定をリセットし、再試行してもいいですか,프록시 설정을 처리하는데에 오류가 발생했습니다. 현재 설정을 폐기하고 다시 시도하시겠습니까?,Une erreur s'est produite lors du processus de configuration du proxy. Voulez-vous réinitialiser le paramètre actuel et réessayer?
"Unrecoverable proxy setting error occured, see log for detail","Произошла серьезная ошибка, подробности можно узнать в журналах",发生不可恢复的代理设置错误，查看日志以取得详情,發生無法復原的 Proxy 設定錯誤，詳細資料請參閱記錄,プロキシ設定に回復不能なエラーが発生しました、ログで詳細をご確認ください,복구 불가능한 프록시 설정 오류가 발생했습니다. 자세한 정보는 로그를 참조하세요.,"Une erreur de paramètre de proxy irrécupérable s'est produite, consultez le journal pour plus de détails"
Traffic Mode,Режим трафика,流量模式,流量模式,トラフィックモード,트래픽 모드,Mode trafic
User Mode,Пользовательский режим,用户模式,使用者模式,ユーザーモード,사용자 모드,Mode utilisateur
Admin Mode,Режим администратора,管理员模式,系統管理員模式,管理者モード,관리자 모드,Mode administrateur
Traffic Routing,Маршрутизация трафика,流量路由,流量路由,トラフィックルーティング,트래픽 라우팅,Routage du trafic
WinDivert: active,WinDivert: активен,WinDivert：已启用,WinDivert：已啟用,WinDivert: 有効,WinDivert: 활성,WinDivert : actif
WinDivert: paused (game running),WinDivert: приостановлен (игра запущена),WinDivert：已暂停（游戏运行中）,WinDivert：已暫停（遊戲執行中）,WinDivert: 一時停止（ゲーム実行中）,WinDivert: 일시 중지됨 (게임 실행 중),WinDivert : suspendu (jeu en cours)
WinDivert: inactive,WinDivert: неактивен,WinDivert：未启用,WinDivert：未啟用,WinDivert: 無効,WinDivert: 비활성,WinDivert : inactif
.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64,.NET 10 · WinUI 3 · Windows App SDK · x64
About & updates,О программе и обновления,关于和更新,關於與更新,バージョン情報と更新,정보 및 업데이트,À propos et mises à jour
Action,Действие,操作,動作,操作,작업,Action
Activation,Активация,激活,啟用,アクティベーション,활성화,Activation
Active,Активен,活动,啟用中,アクティブ,활성,Actif
ACTIVE,АКТИВЕН,活动,啟用中,アクティブ,활성,ACTIF
Add,Добавить,添加,新增,追加,추가,Ajouter
Add application,Добавить приложение,添加应用程序,新增應用程式,アプリケーションを追加,애플리케이션 추가,Ajouter une application
Add source URL(s),Добавить URL источников,添加源 URL,新增來源 URL,ソース URL を追加,소스 URL 추가,Ajouter des URL sources
Admin capture is suspended automatically while a configured anti-cheat-sensitive application is running.,"Захват в режиме администратора автоматически приостанавливается, пока запущено настроенное приложение, чувствительное к античиту.",运行已配置的反作弊敏感应用程序时，将自动暂停管理员捕获。,執行已設定的反作弊敏感應用程式時，會自動暫停系統管理員擷取。,設定済みのアンチチートに敏感なアプリケーションの実行中は、管理者キャプチャが自動的に停止します。,설정된 안티치트 민감 애플리케이션이 실행 중이면 관리자 캡처가 자동으로 일시 중지됩니다.,La capture administrateur est automatiquement suspendue lorsqu’une application configurée sensible à l’anti-triche est en cours d’exécution.
Administrator capture status,Состояние захвата администратора,管理员捕获状态,系統管理員擷取狀態,管理者キャプチャの状態,관리자 캡처 상태,État de la capture administrateur
